ID,GVI,SVF,Enclosure,Clutter
1196,9.31,54.78,38.46,1.86
1210,3.49,30.72,64.07,1.91
1215,0.29,19.89,74.52,2.07
1220,0.0,29.25,65.03,2.47
1222,20.42,24.75,59.57,15.14
1227,7.18,44.72,48.98,2.99
123,20.67,31.98,64.0,2.88
1231,24.38,49.57,42.65,3.74
1236,8.31,49.89,43.25,4.11
1238,7.0,39.26,55.09,4.25
1240,19.47,48.08,45.4,4.9
1242,2.29,60.04,32.3,4.71
1243,1.43,18.44,72.61,4.39
1245,5.77,32.82,64.88,1.14
1249,0.3,35.66,59.12,1.32
1254,0.04,15.84,82.83,0.53
1261,15.65,24.64,67.22,7.57
1266,29.84,38.63,54.48,2.12
1270,23.66,59.09,36.61,1.94
128,13.71,27.1,69.67,1.57
1284,7.93,27.2,65.88,1.23
1288,0.08,27.01,67.82,1.04
1293,0.18,30.92,65.46,1.4
1295,24.63,17.82,72.92,6.85
13,46.01,21.56,74.17,0.8
130,22.12,18.44,78.51,1.34
1305,23.66,59.09,36.61,1.94
1309,13.57,57.35,38.89,2.67
1311,21.35,31.28,62.81,4.96
1313,1.89,66.14,29.1,2.85
1315,1.66,64.65,29.25,3.15
1317,0.02,55.03,39.46,3.7
1319,16.34,33.17,62.38,3.47
1323,1.17,14.64,80.54,2.57
1327,0.01,29.63,65.09,1.28
1334,25.12,17.97,70.91,2.76
1339,20.52,29.17,64.86,3.71
1344,13.57,57.35,38.89,2.67
135,0.01,16.9,80.71,1.28
1358,7.93,27.2,65.88,1.23
1362,1.53,30.8,66.48,1.02
1366,0.0,18.79,78.17,0.27
1368,0.68,12.91,83.89,1.1
1373,20.95,26.58,70.45,1.65
1378,23.96,38.36,50.49,7.8
1383,13.57,57.35,38.89,2.67
1387,19.09,42.26,49.57,3.13
1389,19.09,42.26,49.57,3.13
1391,0.0,60.6,30.1,7.42
1393,16.34,33.17,62.38,3.47
1397,6.89,24.35,64.99,4.68
140,0.47,48.61,46.51,3.09
1401,0.0,19.24,72.22,1.59
1407,25.91,18.77,77.6,1.18
141,0.5,3.88,80.73,1.78
1412,24.84,26.13,67.71,3.85
1417,28.86,29.67,61.63,3.97
1432,0.1,45.76,49.5,2.98
1436,0.33,20.61,76.83,0.55
1440,0.08,15.92,81.09,0.34
1442,0.06,19.54,76.81,0.41
1446,12.68,33.13,62.88,2.96
1451,23.96,38.36,50.49,7.8
1456,20.56,46.75,44.52,6.91
1458,8.82,45.35,45.71,6.92
146,14.7,21.58,75.52,0.87
1460,8.48,62.91,30.71,4.99
1462,14.91,35.69,53.17,5.18
1464,9.4,37.13,55.88,3.52
1465,0.0,40.52,56.62,2.72
1467,4.05,12.37,80.22,2.04
1471,0.15,23.53,72.46,1.63
1475,0.96,17.75,75.24,4.02
1481,2.63,12.77,84.94,0.93
1485,24.84,26.13,67.71,3.85
1490,27.11,26.98,62.56,8.58
1505,0.46,10.52,82.95,1.8
1509,0.24,29.69,66.72,1.29
151,17.84,37.83,56.25,4.65
1513,0.12,26.94,70.04,0.51
1515,0.17,36.91,55.54,1.94
1519,1.33,21.84,51.45,1.74
1523,11.46,34.36,54.29,6.1
1528,22.24,44.82,46.29,7.75
1530,11.24,52.13,40.35,4.6
1532,7.06,56.86,37.71,3.78
1534,13.58,57.45,36.61,4.31
1536,5.47,37.19,55.82,5.51
1537,0.0,33.61,63.07,3.22
1539,3.98,26.98,64.19,2.96
1543,1.15,13.16,84.11,1.21
1547,0.29,19.68,76.1,1.42
1553,0.89,42.43,53.22,1.19
1557,5.45,22.69,71.39,2.18
1561,30.76,25.06,63.1,4.17
1577,0.01,15.23,77.19,6.49
158,4.14,19.45,79.18,0.78
1581,0.21,13.16,81.19,1.11
1585,0.01,37.8,59.24,1.3
1587,2.59,36.27,52.19,0.36
1591,1.37,53.66,41.33,1.25
1595,9.09,32.36,58.1,4.2
1599,9.12,27.21,62.27,10.41
1601,2.41,34.36,61.05,0.72
1603,0.11,10.31,88.47,0.43
1605,3.85,24.69,69.62,4.97
1607,32.06,33.62,58.69,5.82
1609,1.86,27.21,60.53,2.98
1611,0.09,36.6,57.24,3.96
1615,1.85,9.57,84.74,1.32
1619,0.26,10.68,73.32,15.0
1625,45.96,12.75,85.6,1.64
163,2.04,17.7,80.06,1.21
168,0.66,53.31,40.67,4.77
172,4.7,13.49,82.88,0.83
177,30.72,17.74,78.26,1.07
18,1.99,28.74,67.0,1.36
182,24.76,23.74,58.87,14.22
184,17.79,8.87,85.58,4.89
189,0.0,16.02,70.76,12.27
194,0.0,3.3,95.3,0.95
199,2.93,50.57,40.9,7.13
200,2.87,1.84,82.46,0.67
205,1.8,16.19,78.55,1.92
210,32.26,21.14,70.44,7.69
217,38.83,26.0,69.86,2.02
222,0.0,10.89,83.13,2.99
227,0.95,47.42,43.31,4.27
23,25.81,30.84,63.65,2.19
235,8.13,29.13,66.87,1.92
240,0.0,18.09,79.36,1.03
245,3.15,13.27,82.64,2.47
247,7.24,26.37,64.85,8.08
25,0.97,21.33,69.78,2.41
252,19.06,11.86,83.87,0.89
257,1.14,34.33,60.54,2.17
262,6.41,52.03,42.28,2.84
264,6.8,60.04,32.56,2.71
265,0.65,0.07,79.68,2.43
270,29.62,21.66,74.01,1.38
275,0.04,22.07,74.3,0.84
282,0.08,23.99,73.05,1.32
287,8.76,22.84,72.1,2.51
292,0.58,34.88,53.11,7.05
30,0.0,16.91,69.82,7.4
301,0.1,26.91,68.4,1.5
306,16.65,22.08,73.07,1.67
311,0.97,20.58,74.94,1.91
313,2.06,29.76,66.62,2.28
318,2.71,38.47,56.18,2.01
323,6.2,28.8,66.99,3.06
328,0.08,32.52,59.68,4.46
330,2.06,58.38,32.04,3.36
332,0.55,56.09,34.5,4.98
333,0.58,0.24,86.07,1.4
338,23.08,23.55,73.44,0.87
343,8.94,23.07,72.45,2.05
35,58.31,16.1,79.24,1.3
350,3.21,11.03,87.38,1.21
355,6.41,19.11,78.34,1.25
360,1.63,16.59,80.43,1.28
371,1.24,30.74,65.49,2.44
